id,category,base,treatment,data_needed,limitation,U,T,S,D,C,M,P,score,scan_score,research_score,readiness,release_gate
ARC-01-01,architecture,Editorial briefing plus entity research,retain four-tab editorial shell,"approved brief, issue, voice, evidence indexes",Refine existing navigation; evidence is still a downstream dependency; reuse stable routes and typography,5,4,5,5,4,5,5,93.6,94.0,92.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-01-02,architecture,Editorial briefing plus entity research,briefing plus persistent desktop index,"approved brief, issue, voice, evidence indexes",Refine existing navigation; evidence is still a downstream dependency; desktop split pane; mobile sequential fallback,5,4,5,5,4,5,4,92.0,92.8,91.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-01-03,architecture,Editorial briefing plus entity research,single long research canvas,"approved brief, issue, voice, evidence indexes",Refine existing navigation; evidence is still a downstream dependency; in-page anchors but scroll burden,5,4,4,5,3,5,4,87.2,86.4,86.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-01-04,architecture,Editorial briefing plus entity research,two-minute/deep-research modes,"approved brief, issue, voice, evidence indexes",Refine existing navigation; evidence is still a downstream dependency; remember mode; avoid duplicating content,5,4,5,5,4,5,4,92.0,92.8,91.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-01-05,architecture,Editorial briefing plus entity research,comparison-led navigation,"approved brief, issue, voice, evidence indexes",Refine existing navigation; evidence is still a downstream dependency; comparison requires proposition contract,5,4,4,5,5,5,4,91.2,89.6,92.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-01-06,architecture,Editorial briefing plus entity research,timeline as secondary workspace,"approved brief, issue, voice, evidence indexes",Refine existing navigation; evidence is still a downstream dependency; date scope persists across entities,5,4,5,5,4,5,4,92.0,92.8,91.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-01-07,architecture,Editorial briefing plus entity research,universal search as default entry,"approved brief, issue, voice, evidence indexes",Refine existing navigation; evidence is still a downstream dependency; unknown-unknown discovery becomes harder,5,4,4,5,4,5,4,89.2,88.0,89.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-01-08,architecture,Editorial briefing plus entity research,customizable landing panels,"approved brief, issue, voice, evidence indexes",Refine existing navigation; evidence is still a downstream dependency; preferences and competing priorities,5,4,4,5,4,4,4,87.2,85.6,88.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-01-09,architecture,Editorial briefing plus entity research,preserve current card grid exactly,"approved brief, issue, voice, evidence indexes",Refine existing navigation; evidence is still a downstream dependency; minimal migration; duplicated prose persists,5,4,4,4,4,5,5,88.0,87.2,86.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-01-10,architecture,Editorial briefing plus entity research,source and trust rail everywhere,"approved brief, issue, voice, evidence indexes","Refine existing navigation; evidence is still a downstream dependency; inline caveat, full diagnostics on demand",5,5,5,5,4,5,4,96.4,97.2,96.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-02-01,architecture,Issue atlas as the home screen,retain four-tab editorial shell,"canonical issues, aliases, topic series",Exploration improves but important change requires an extra step; reuse stable routes and typography,4,4,4,5,4,5,4,84.8,84.4,85.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-02-02,architecture,Issue atlas as the home screen,briefing plus persistent desktop index,"canonical issues, aliases, topic series",Exploration improves but important change requires an extra step; desktop split pane; mobile sequential fallback,4,4,4,5,4,5,3,83.2,83.2,84.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-02-03,architecture,Issue atlas as the home screen,single long research canvas,"canonical issues, aliases, topic series",Exploration improves but important change requires an extra step; in-page anchors but scroll burden,4,4,3,5,3,5,3,78.4,76.8,79.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-02-04,architecture,Issue atlas as the home screen,two-minute/deep-research modes,"canonical issues, aliases, topic series",Exploration improves but important change requires an extra step; remember mode; avoid duplicating content,4,4,5,5,4,5,3,86.0,88.0,85.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-02-05,architecture,Issue atlas as the home screen,comparison-led navigation,"canonical issues, aliases, topic series",Exploration improves but important change requires an extra step; comparison requires proposition contract,4,4,3,5,5,5,3,82.4,80.0,85.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-02-06,architecture,Issue atlas as the home screen,timeline as secondary workspace,"canonical issues, aliases, topic series",Exploration improves but important change requires an extra step; date scope persists across entities,4,4,4,5,4,5,3,83.2,83.2,84.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-02-07,architecture,Issue atlas as the home screen,universal search as default entry,"canonical issues, aliases, topic series",Exploration improves but important change requires an extra step; unknown-unknown discovery becomes harder,4,4,3,5,4,5,3,80.4,78.4,82.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-02-08,architecture,Issue atlas as the home screen,customizable landing panels,"canonical issues, aliases, topic series",Exploration improves but important change requires an extra step; preferences and competing priorities,4,4,3,5,4,4,3,78.4,76.0,81.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-02-09,architecture,Issue atlas as the home screen,preserve current card grid exactly,"canonical issues, aliases, topic series",Exploration improves but important change requires an extra step; minimal migration; duplicated prose persists,4,4,3,4,4,5,5,80.8,78.8,80.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-02-10,architecture,Issue atlas as the home screen,source and trust rail everywhere,"canonical issues, aliases, topic series","Exploration improves but important change requires an extra step; inline caveat, full diagnostics on demand",4,5,4,5,4,5,3,87.6,87.6,88.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-03-01,architecture,Question-first research workspace,retain four-tab editorial shell,"query resolution, retrieval, cited answer contract",Weak questions or retrieval can hide what the user did not know to ask; reuse stable routes and typography,4,4,3,5,5,4,3,80.4,77.6,84.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-03-02,architecture,Question-first research workspace,briefing plus persistent desktop index,"query resolution, retrieval, cited answer contract",Weak questions or retrieval can hide what the user did not know to ask; desktop split pane; mobile sequential fallback,4,4,3,5,5,4,2,78.8,76.4,82.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-03-03,architecture,Question-first research workspace,single long research canvas,"query resolution, retrieval, cited answer contract",Weak questions or retrieval can hide what the user did not know to ask; in-page anchors but scroll burden,4,4,2,5,4,4,2,74.0,70.0,78.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-03-04,architecture,Question-first research workspace,two-minute/deep-research modes,"query resolution, retrieval, cited answer contract",Weak questions or retrieval can hide what the user did not know to ask; remember mode; avoid duplicating content,4,4,4,5,5,4,2,81.6,81.2,84.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
